Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,1,8,36,5,Some Random Commen with Id 0
1,1,8,69,2,Some Random Commen with Id 1
2,1,8,37,4,Some Random Commen with Id 2
3,1,8,88,7,Some Random Commen with Id 3
4,1,8,38,5,Some Random Commen with Id 4
5,1,8,188,6,Some Random Commen with Id 5
6,1,8,49,6,Some Random Commen with Id 6
7,1,8,111,2,Some Random Commen with Id 7
8,1,8,68,5,Some Random Commen with Id 8
9,2,5,31,6,Some Random Commen with Id 9
10,2,5,139,5,Some Random Commen with Id 10
11,2,5,130,8,Some Random Commen with Id 11
12,2,5,108,5,Some Random Commen with Id 12
13,2,5,84,3,Some Random Commen with Id 13
14,2,5,20,5,Some Random Commen with Id 14
15,2,5,77,9,Some Random Commen with Id 15
16,2,5,130,9,Some Random Commen with Id 16
17,3,5,154,0,Some Random Commen with Id 17
18,3,5,142,3,Some Random Commen with Id 18
19,4,4,140,1,Some Random Commen with Id 19
20,4,4,169,0,Some Random Commen with Id 20
21,4,4,134,2,Some Random Commen with Id 21
22,4,4,163,6,Some Random Commen with Id 22
23,4,4,76,3,Some Random Commen with Id 23
24,5,7,87,6,Some Random Commen with Id 24
25,5,7,97,9,Some Random Commen with Id 25
26,5,7,184,2,Some Random Commen with Id 26
27,5,7,134,3,Some Random Commen with Id 27
28,5,7,104,3,Some Random Commen with Id 28
29,5,7,51,8,Some Random Commen with Id 29
30,6,5,69,8,Some Random Commen with Id 30
31,6,5,33,4,Some Random Commen with Id 31
32,6,5,113,4,Some Random Commen with Id 32
33,6,5,26,9,Some Random Commen with Id 33
34,6,5,29,7,Some Random Commen with Id 34
35,6,5,122,0,Some Random Commen with Id 35
36,6,5,16,7,Some Random Commen with Id 36
37,6,5,60,8,Some Random Commen with Id 37
38,7,6,56,9,Some Random Commen with Id 38
39,7,6,126,9,Some Random Commen with Id 39
40,7,6,112,7,Some Random Commen with Id 40
41,7,6,85,5,Some Random Commen with Id 41
42,7,6,32,5,Some Random Commen with Id 42
43,7,6,132,6,Some Random Commen with Id 43
44,7,6,7,0,Some Random Commen with Id 44
45,9,2,107,8,Some Random Commen with Id 45
46,9,2,79,2,Some Random Commen with Id 46
47,9,2,86,7,Some Random Commen with Id 47
48,9,2,174,6,Some Random Commen with Id 48
49,9,2,135,5,Some Random Commen with Id 49
50,10,2,54,0,Some Random Commen with Id 50
51,10,2,41,8,Some Random Commen with Id 51
52,10,2,103,1,Some Random Commen with Id 52
53,11,8,171,6,Some Random Commen with Id 53
54,11,8,33,2,Some Random Commen with Id 54
55,11,8,154,6,Some Random Commen with Id 55
56,11,8,128,0,Some Random Commen with Id 56
57,11,8,157,2,Some Random Commen with Id 57
58,11,8,196,1,Some Random Commen with Id 58
59,11,8,2,1,Some Random Commen with Id 59
60,11,8,70,1,Some Random Commen with Id 60
61,12,2,197,5,Some Random Commen with Id 61
62,12,2,148,5,Some Random Commen with Id 62
63,12,2,175,4,Some Random Commen with Id 63
64,12,2,124,8,Some Random Commen with Id 64
65,12,2,103,2,Some Random Commen with Id 65
66,13,2,24,2,Some Random Commen with Id 66
67,13,2,132,4,Some Random Commen with Id 67
68,13,2,15,7,Some Random Commen with Id 68
69,13,2,8,6,Some Random Commen with Id 69
70,13,2,134,1,Some Random Commen with Id 70
71,14,3,77,6,Some Random Commen with Id 71
72,14,3,67,3,Some Random Commen with Id 72
73,14,3,131,8,Some Random Commen with Id 73
74,14,3,51,7,Some Random Commen with Id 74
75,16,2,130,4,Some Random Commen with Id 75
76,16,2,121,6,Some Random Commen with Id 76
77,16,2,188,2,Some Random Commen with Id 77
78,16,2,41,0,Some Random Commen with Id 78
79,16,2,14,3,Some Random Commen with Id 79
80,16,2,158,7,Some Random Commen with Id 80
81,17,8,74,5,Some Random Commen with Id 81
82,17,8,110,9,Some Random Commen with Id 82
83,17,8,113,4,Some Random Commen with Id 83
84,17,8,128,9,Some Random Commen with Id 84
85,17,8,145,0,Some Random Commen with Id 85
86,17,8,19,1,Some Random Commen with Id 86
87,17,8,102,3,Some Random Commen with Id 87
88,17,8,196,3,Some Random Commen with Id 88
89,17,8,122,9,Some Random Commen with Id 89
90,18,0,177,5,Some Random Commen with Id 90
91,18,0,5,7,Some Random Commen with Id 91
92,18,0,123,3,Some Random Commen with Id 92
93,19,5,115,5,Some Random Commen with Id 93
94,20,8,36,8,Some Random Commen with Id 94
95,20,8,108,1,Some Random Commen with Id 95
96,20,8,4,0,Some Random Commen with Id 96
97,20,8,185,6,Some Random Commen with Id 97
98,20,8,72,7,Some Random Commen with Id 98
99,20,8,162,8,Some Random Commen with Id 99
100,20,8,102,6,Some Random Commen with Id 100
101,21,4,26,6,Some Random Commen with Id 101
102,22,2,160,9,Some Random Commen with Id 102
103,22,2,151,2,Some Random Commen with Id 103
104,22,2,72,8,Some Random Commen with Id 104
105,22,2,196,2,Some Random Commen with Id 105
106,22,2,128,0,Some Random Commen with Id 106
107,22,2,167,8,Some Random Commen with Id 107
108,22,2,91,0,Some Random Commen with Id 108
109,22,2,171,8,Some Random Commen with Id 109
110,22,2,143,4,Some Random Commen with Id 110
111,23,8,149,2,Some Random Commen with Id 111
112,23,8,99,1,Some Random Commen with Id 112
113,23,8,57,2,Some Random Commen with Id 113
114,23,8,63,7,Some Random Commen with Id 114
115,23,8,1,7,Some Random Commen with Id 115
116,24,5,178,4,Some Random Commen with Id 116
117,24,5,36,5,Some Random Commen with Id 117
118,25,9,68,8,Some Random Commen with Id 118
119,25,9,89,9,Some Random Commen with Id 119
120,25,9,145,0,Some Random Commen with Id 120
121,25,9,90,9,Some Random Commen with Id 121
122,26,4,168,0,Some Random Commen with Id 122
